cardname,cardtext,mana,atk,def,dmg,heal,catk,to
Far Sight,Draw a card. That card costs (3) less.,3,0,0,,,,
Finkle Einhorn,N/A,2,3,3,,,,
Flame of Azzinoth,N/A,1,2,1,,,,
Frog,Taunt,0,0,1,,,,
Frost Elemental,Battlecry: Freeze a character.,6,5,5,,,,
Gnoll,Taunt,2,2,2,,,,
Heavy Axe,N/A,1,1,3,,,,
Holy Wrath,Draw a card and deal damage equal to its cost.,5,0,0,,,,
Huffer,Charge,3,4,2,,,,
Hyena,N/A,2,2,2,,,,
Imp,N/A,1,1,1,,,,
Infernal,N/A,6,6,6,,,,
Kidnapper,Combo: Return a minion to its owner's hand.,6,5,3,,,,
Laughing Sister,Can't be targeted by Spells or Hero Powers.,3,3,5,,,,
Leokk,Other friendly minions have +1 Attack.,3,2,4,,,1,
Light's Justice,N/A,1,1,4,,,,
Mechanical Dragonling,N/A,1,2,1,,,,
Misha,Taunt,3,4,4,,,,
Murloc Scout,N/A,0,1,1,,,,
Panther,N/A,2,3,2,,,,
Patient Assassin,Stealth. Destroy any minion damaged by this minion.,2,1,1,,,,
Savagery,Deal damage equal to your hero's Attack to a minion.,1,0,0,,,,
Searing Totem,N/A,1,1,1,,,,
Shadow of Nothing,Mindgames whiffed! Your opponent had no minions!,0,0,1,,,,
Shan'do's Lesson,Summon two 2/2 Treants with Taunt.,0,0,0,,,,
Sheep,N/A,0,1,1,,,,
Silver Hand Recruit,N/A,1,1,1,,,,
Skeleton,,1,1,1,,,,
Snake,N/A,0,1,1,,,,
Spirit Wolf,Taunt,2,2,3,,,,
Squire,N/A,1,2,2,,,,
Squirrel,N/A,1,1,1,,,,
Stoneclaw Totem,Taunt,1,0,2,,,,
Succubus,Battlecry: Discard a random card.,2,4,3,,,,
Summoning Portal,"Your minions cost (2) less, but not less than (1).",4,0,4,,,,
The Beast,Deathrattle: Summon a 3/3 Finkle Einhorn for your opponent.,6,9,7,,,,
The Coin,Gain 1 Mana Crystal this turn only.,0,0,0,,,,
Thrallmar Farseer,Windfury,3,2,3,,,,
Treant,N/A,1,2,2,,,,
Treant,"Charge.  At the end of the turn, destroy this minion.",1,2,2,,,,
Treant,Taunt,1,2,2,,,,
Violet Apprentice,N/A,0,1,1,,,,
War Golem,N/A,7,7,7,,,,
Whelp,N/A,1,1,1,,,,
Wicked Knife,N/A,1,1,2,,,,
Wisp,N/A,0,1,1,,,,
Worthless Imp,You are out of demons! At least there are always imps...,1,1,1,,,,
Wrath of Air Totem,Spell Damage +1,1,0,2,,,,
Acidic Swamp Ooze,Battlecry: Destroy your opponent's weapon.,2,3,2,,,,
Acolyte of Pain,"Whenever this minion takes damage, draw a card.",3,1,3,,,,
Al'Akir the Windlord,"Windfury, Charge, Divine Shield, Taunt",8,3,5,,,,
Alarm-o-Bot,"At the start of your turn, swap this minion with a random one in your hand.",3,0,3,,,,
Amani Berserker,Enrage: +3 Attack,2,2,3,,,3,self
Ancestral Spirit,"Choose a minion. When that minion is destroyed, return it to the battlefield.",2,0,0,,,,
Ancient Brewmaster,Battlecry: Return a friendly minion from the battlefield to your hand.,4,5,4,,,,
Ancient Watcher,Can't Attack.,2,4,5,,,,
Animal Companion,Summon a random Beast Companion.,3,0,0,,,,
Arathi Weaponsmith,Battlecry: Equip a 2/2 weapon.,4,3,3,,,2,"you, hero"
Arcane Intellect,Draw 2 cards.,3,0,0,,,,
Arcanite Reaper,N/A,5,5,2,,,,
Archmage,Spell Damage +1,6,4,7,,,,
Archmage Antonidas,"Whenever you cast a spell, put a 'Fireball' spell into your hand.",7,5,7,,,,
Argent Commander,"Charge, Divine Shield",6,4,2,,,,
Argent Squire,Divine Shield,1,1,1,,,,
Armorsmith,"Whenever a friendly minion takes damage, gain 1 Armor.",2,1,4,,1,,
Assassinate,Destroy an enemy minion.,5,0,0,,,,
Assassin's Blade,N/A,5,3,4,,,,
Azure Drake,Spell Damage +1. Battlecry: Draw a card.,5,4,4,,,,
Battle Rage,Draw a card for each damaged friendly character.,2,0,0,,,,
Betrayal,An enemy minion deals its damage to the minions next to it.,2,0,0,,,,
Big Game Hunter,Battlecry: Destroy a minion with an Attack of 7 or more.,3,4,2,,,,
Blade Flurry,Destroy your weapon and deal its damage to all enemies.,2,0,0,,,,
Blessed Champion,Double a minion's Attack.,5,0,0,,,,
Blessing of Wisdom,"Choose a minion.  Whenever it attacks, draw a card.",1,0,0,,,,
Blood Knight,Battlecry: All minions lose Divine Shield. Gain +3/+3 for each Shield lost.,3,3,3,,,,
Bloodfen Raptor,N/A,2,3,2,,,,
Bloodmage Thalnos,Spell Damage +1. Deathrattle: Draw a card.,2,1,1,,,,
Bloodsail Raider,Battlecry: Gain Attack equal to the Attack of your weapon.,2,2,3,,,,
Bluegill Warrior,Charge,2,2,1,,,,
Booty Bay Bodyguard,Taunt,5,5,4,,,,
Boulderfist Ogre,N/A,6,6,7,,,,
Brawl,Destroy all minions except one.  (chosen randomly),5,0,0,,,,
Cabal Shadow Priest,Battlecry: Take control of an enemy minion that has 2 or less Attack.,6,4,5,,,,
Cairne Bloodhoof,Deathrattle: Summon a 4/5 Baine Bloodhoof.,6,4,5,,,,
Captain's Parrot,Battlecry: Put a random Pirate from your deck into your hand.,2,1,1,,,,
Chillwind Yeti,N/A,4,4,5,,,,
Coldlight Oracle,Battlecry: Each player draws 2 cards.,3,2,2,,,,
Core Hound,N/A,7,9,5,,,,
Corruption,"Choose an enemy minion.   At the start of your turn, destroy it.",1,0,0,,,,
Counterspell,"Secret: When your opponent casts a spell, Counter it.",3,0,0,,,,
Cult Master,"Whenever one of your other minions dies, draw a card.",4,4,2,,,,
Dalaran Mage,Spell Damage +1,3,1,4,,,,
Deadly Shot,Destroy a random enemy minion.,3,0,0,,,,
Deathwing,Battlecry: Destroy all other minions and discard your hand.,10,12,12,,,,
Defias Ringleader,Combo: Summon a 2/1 Defias Bandit.,2,2,2,,,,
Dire Wolf Alpha,Adjacent minions have +1 Attack.,2,2,2,,,1,"mult, you, min"
Divine Favor,Draw cards until you have as many in hand as your opponent.,3,0,0,,,,
Doomguard,Charge. Battlecry: Discard two random cards.,5,5,7,,,,
Doomhammer,"Windfury, Overload: (2)",5,2,8,,,,
Doomsayer,"At the start of your turn, destroy ALL minions.",2,0,7,,,,
Dragonling Mechanic,Battlecry: Summon a 2/1 Mechanical Dragonling.,4,2,4,,,,
Dread Corsair,Taunt. Costs (1) less per Attack of your weapon.,4,3,3,,,,
Druid of the Claw,Charge,5,4,4,,,,
Druid of the Claw,Taunt,5,4,6,,,,
Eaglehorn Bow,"Whenever a Secret is revealed, gain +1 Durability.",3,3,2,,,,
Earth Elemental,Taunt. Overload: (3),5,7,8,,,,
Edwin VanCleef,Combo: Gain +2/+2 for each card played earlier this turn.,3,2,2,,,,
Emperor Cobra,Destroy any minion damaged by this minion.,3,2,3,,,,
Ethereal Arcanist,"If you control a Secret at the end of your turn, gain +2/+2.",4,3,3,,,,
Execute,Destroy a damaged enemy minion.,1,0,0,,,,
Eye for an Eye,"Secret: When your hero takes damage, deal that much damage to the enemy hero.",1,0,0,,,,
Faceless Manipulator,Battlecry: Choose a minion and become a copy of it.,5,3,3,,,,
Faerie Dragon,Can't be targeted by Spells or Hero Powers.,2,3,2,,,,
Felguard,Taunt. Battlecry: Destroy one of your Mana Crystals.,3,3,5,,,,
Fen Creeper,Taunt,5,3,6,,,,
Feral Spirit,Summon two 2/3 Spirit Wolves with Taunt. Overload: (2),3,0,0,,,,
Fiery War Axe,N/A,2,3,2,,,,
Flametongue Totem,Adjacent minions have +2 Attack.,2,0,3,,,2,"mult, you, min"
Flare,All minions lose Stealth. Destroy all enemy Secrets. Draw a card.,1,0,0,,,,
Flesheating Ghoul,"Whenever a minion dies, gain +1 Attack.",3,2,3,,,,
Force of Nature,Summon three 2/2 Treants with Charge that die at the end of the turn.,6,0,0,,,,
Freezing Trap,"Secret: When an enemy minion attacks, return it to its owner's hand and it costs (2) more.",2,0,0,,,,
Frost Nova,Freeze all enemy minions.,3,0,0,,,,
Frostwolf Grunt,Taunt,2,2,2,,,,
Frostwolf Warlord,Battlecry: Gain +1/+1 for each other friendly minion on the battlefield.,5,4,4,,,,
Frothing Berserker,"Whenever a minion takes damage, gain +1 Attack.",3,2,4,,,,
Gadgetzan Auctioneer,"Whenever you cast a spell, draw a card.",5,4,4,,,,
Gladiator's Longbow,Your hero is Immune while attacking.,7,5,2,,,,
Gnomish Inventor,Battlecry: Draw a card.,4,2,4,,,,
Goldshire Footman,Taunt,1,1,2,,,,
Gorehowl,Attacking a minion costs 1 Attack instead of 1 Durability.,7,7,1,,,,
Grimscale Oracle,ALL other Murlocs have +1 Attack.,1,1,1,,,1,"all, murloc"
Grommash Hellscream,Charge.  Enrage: +6 Attack,8,4,9,,,6,self
Gruul,"At the end of each turn, gain +1/+1 .",8,7,7,,,,
Gurubashi Berserker,"Whenever this minion takes damage, gain +3 Attack.",5,2,7,,,,
Harrison Jones,Battlecry: Destroy your opponent's weapon and draw cards equal to its Durability.,5,5,4,,,,
Harvest Golem,Deathrattle: Summon a 2/1 Damaged Golem.,3,2,3,,,,
Hex,Transform a minion into a 0/1 Frog with Taunt.,3,0,0,,,,
Hogger,"At the end of your turn, summon a 2/2 Gnoll with Taunt.",6,4,4,,,,
Hungry Crab,Battlecry: Destroy a Murloc and gain +2/+2.,1,1,2,,,,
Ice Barrier,"Secret: As soon as your hero is attacked, gain 8 Armor.",3,0,0,,8,,"you, hero"
Ice Block,"Secret: When your hero takes fatal damage, prevent it and become Immune this turn.",3,0,0,,,,
Illidan Stormrage,"Whenever you play a card, summon a 2/1 Flame of Azzinoth.",6,7,5,,,,
Innervate,Gain 2 Mana Crystals this turn only.,0,0,0,,,,
Ironbark Protector,Taunt,8,8,8,,,,
Ironbeak Owl,Battlecry: Silence a minion.,2,2,1,,,,
Ironfur Grizzly,Taunt,3,3,3,,,,
Jungle Panther,Stealth,3,4,2,,,,
King Krush,Charge,9,8,8,,,,
Kirin Tor Mage,Battlecry: The next Secret you play this turn costs (0).,3,4,3,,,,
Kobold Geomancer,Spell Damage +1,2,2,2,,,,
Kor'kron Elite,Charge,4,4,3,,,,
Leeroy Jenkins,Charge. Battlecry: Summon two 1/1 Whelps for your opponent.,4,6,2,,,,
Loot Hoarder,Deathrattle: Draw a card.,2,2,1,,,,
Lord Jaraxxus,Battlecry: Destroy your hero and replace him with Lord Jaraxxus.,9,3,15,,,,
Lord of the Arena,Taunt,6,6,5,,,,
Lorewalker Cho,"Whenever a player casts a spell, put a copy into the other player’s hand.",2,0,4,,,,
Magma Rager,N/A,3,5,1,,,,
Malygos,Spell Damage +5,9,4,12,,,,
Mana Addict,"Whenever you cast a spell, gain +2 Attack this turn.",2,1,3,,,,
Mana Tide Totem,"At the end of your turn, draw a card.",3,0,3,,,,
Mana Wraith,ALL minions cost (1) more.,2,2,2,,,,
Mana Wyrm,"Whenever you cast a spell, gain +1 Attack.",1,1,3,,,,
Mass Dispel,Silence all enemy minions. Draw a card.,4,0,0,,,,
Millhouse Manastorm,Battlecry: Enemy spells cost (0) next turn.,2,4,4,,,,
Mind Control,Take control of an enemy minion.,10,0,0,,,,
Mind Control Tech,"Battlecry: If your opponent has 4 or more minions, take control of one at random.",3,3,3,,,,
Mind Vision,Put a copy of a random card in your opponent's hand into your hand.,1,0,0,,,,
Mindgames,Put a copy of a random minion from your opponent's deck into the battlefield.,4,0,0,,,,
Mirror Entity,"Secret: When your opponent plays a minion, summon a copy of it.",3,0,0,,,,
Mirror Image,Taunt,0,0,2,,,,
Mirror Image,Summon two 0/2 minions with Taunt.,1,0,0,,,,
Misdirection,"Secret: When a character attacks your hero, instead he attacks another random character.",2,0,0,,,,
Mogu'shan Warden,Taunt,4,1,7,,,,
Molten Giant,Costs (1) less for each damage your hero has taken.,20,8,8,,,,
Mountain Giant,Costs (1) less for each other card in your hand.,12,8,8,,,,
Murloc Raider,N/A,1,2,1,,,,
Murloc Tidecaller,"Whenever a Murloc is summoned, gain +1 Attack.",1,1,2,,,,
Murloc Tidehunter,Battlecry: Summon a 1/1 Murloc Scout.,2,2,1,,,,
Murloc Warleader,ALL other Murlocs have +2/+1.,3,3,3,,1,2,"all, murloc"
Nat Pagle,"At the end of your turn, you have a 50% chance to draw a card.",2,0,4,,,,
Naturalize,Destroy a minion. Your opponent draws 2 cards.,1,0,0,,,,
Noble Sacrifice,"Secret: When an enemy attacks, summon a 2/1 Defender as the new target.",1,0,0,,,,
Nourish,Gain 2 Mana Crystals.,0,0,0,,,,
Nourish,Draw 3 cards.,0,0,0,,,,
Nourish,Choose One - Gain 2 Mana Crystals; or Draw 3 cards.,5,0,0,,,,
Novice Engineer,Battlecry: Draw a card.,2,1,1,,,,
Nozdormu,Players only have 15 seconds to take their turns.,9,8,8,,,,
Oasis Snapjaw,N/A,4,2,7,,,,
Ogre Magi,Spell Damage +1,4,4,4,,,,
Old Murk-Eye,Charge. Has +1 Attack for each other Murloc on the battlefield.,4,2,4,,,,
Onyxia,Battlecry: Summon 1/1 Whelps until your side of the battlefield is full.,9,8,8,,,,
